"","epi_ctry","epi_subj","epi_demo_sex","epi_demo_age","epi_demo_edu","epi_demo_edu_8_TEXT","epi_demo_occ","epi_demo_pocc","epi_demo_ethn","epi_demo_chn_howl","epi_demo_vut_whis","epi_demo_whli","epi_demo_howl","epi_demo_thl_ses","epi_demo_rlgn","epi_demo_prel","epi_demo_chur","epi_demo_ubru","epi_demo_ses_num","epi_demo_ses_cat","epi_demo_howr_cat","epi_demo_howr_num","epi_demo_affr_num","epi_demo_tung_num","epi_demo_ytng_num","epi_demo_affr_cat","epi_demo_tung_cat","epi_demo_ytng_cat","epi_version","epi_recr","epi_wher","epi_whoc","epi_inlang","epi_charc"
"228","Ghana",40639,"Male",28,"Other graduate degree",NA,"Student","Mom: Retired Businesswoman, Dad: Retired Engineer","Akan (Ahanta)",NA,NA,"Mpeasem","2",NA,"Christianity","Christianity","Methodist","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","0"
"229","Ghana",40641,"Male",21,"Bachelors degree",NA,"Student","Mom: Police officer, Dad: Teacher","Ewe",NA,NA,"Pedu","16",NA,"Christianity","Christianity","Presbyterian","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","0"
"230","Ghana",40643,"Female",62,"No HS degree",NA,"Trader","Mom: Trader, Dad: Missing Data","Fante",NA,NA,"Efutu","9",NA,"Christian","Christian","Roman Catholic","Urban",-1,"a little poorer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"231","Ghana",40645,"Male",32,"Vocational school",NA,"Surveyer","Mom: Trader, Dad: Farmer","Ewe",NA,NA,"Abura","8",NA,"Christianity","Traditionalists","Christ Apostolic Church International","Rural",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"232","Ghana",40647,"Male",32,NA,NA,"Assistant Admisnistrator","Farmers","Nothner",NA,NA,"Bremesu (Cape Coast)","4",NA,"Christianity","Christianity","Roman Catholic","Rural",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Ghana Water Company","Doris and Esther","Missing Data","0"
"233","Ghana",40649,"Male",45,"Vocational school",NA,"Electrician","Mom: Farmer Customer Care Officer, Dad: Musician","Fante",NA,NA,"C-Poly","7 months",NA,"Christianity","Christianity","Anglican","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Ghana Water Company","Doris and Esther","English","0"
"234","Ghana",40651,"Male",33,"Other graduate degree",NA,"Customer Care Practitioner","Mom: Trader, Dad: Former Engineer (Deceased)","Mole Dagbani",NA,NA,"Brimsu (Staff quarters - Cape Coast)","5",NA,"Islam","Islam","Tijaniya","Urban",1,"a little richer","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Ghana Water Company","Doris and Esther","English","0"
"235","Ghana",40653,"Male",37,NA,NA,"Security officer","Deceased. Mom: Trader, Dad: Farmer/Businessman","Mole Dagbani",NA,NA,"Kotolareba","12",NA,"Islamic","Islamic","Central Mosque","Urban",1,"a little richer","agree",1,0,0,0,NA,NA,NA,1,"Face to face","Ghana Water Company","Doris and Esther","English,Fante","0"
"236","Ghana",40655,"Male",70,"Some college",NA,"Teacher (Retired)","Mom: Trader, Dad: Sanitory Inspector","Fante / Akuapim",NA,NA,"Abura","5",NA,"Christianity","Christianity","Methodist Church","Urban",0,"about the same","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"237","Ghana",40657,"Male",69,"No HS degree",NA,"Driving","Farmers","Hausa",NA,NA,"Kotokuraba","60",NA,"Muslim","Muslim","Islam","Urban",-1,"a little poorer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"238","Ghana",40659,"Male",44,"No HS degree",NA,"Businessman","Businessman and woman","Akan (Fanti)",NA,NA,"Jubilee School","15",NA,"Christianity","Christianity","Christ Apostolic Church","Urban",2,"much richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Fante","1"
"239","Ghana",40661,"Male",40,"No HS degree",NA,"Driver","Mom: Kenkey seller (deceased), Dad: Driver","Akan (Fanti)",NA,NA,"Egyaa number 1","5",NA,"Christianity","Christianity","Methodist","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Fante","0"
"240","Ghana",40663,"Male",41,"Other graduate degree",NA,"Teaching","Teaching (Retired Educationist)","Ewe",NA,NA,"Menyamewu (Cape Coast)","4",NA,"Christian","Christian","Evangelical Presbyterian Church","Rural",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","0"
"241","Ghana",40665,"Male",39,"No HS degree",NA,"Tour guide","Mom: Farmer, Dad: Retired (Wildlife officer)","Akan",NA,NA,"Junkowa","6",NA,"Christianity","Christianity","Presbyterian Church","Rural",1,"a little richer","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","0"
"242","Ghana",40667,"Male",40,NA,NA,"Businessman","Mom: Trader","Fante / Fanti",NA,NA,"Besakrom","3",NA,"Christianity","Christianity","Methodist Church","Rural",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Fante","0"
"243","Ghana",40669,"Female",52,"No HS degree",NA,"Trader","Trader","Ga",NA,NA,"Abura (Cape Coast)","6",NA,"Christianity","Christianity","Triumphant Outreach Ministry","Urban",1,"a little richer","agree",1,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"244","Ghana",40671,"Male",29,"Some college",NA,"Seminary (A student at the seminary)","Trader, Farmer","Ashanti",NA,NA,"Kumasi","5",NA,"Christianity","Christianity","Church of God","Urban",1,"a little richer","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","1"
"245","Ghana",40673,"Female",30,"Vocational school",NA,"Account Assistance","Herbalist","Ewe",NA,NA,"Elmina","6.5",NA,"Christianity","Christianity","Emmanuel Assemblies of God","Rural",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","1"
"246","Ghana",40675,"Female",65,NA,NA,"Prophetes","Diceased","Fante",NA,NA,"Amanful (Cape Coast)","30",NA,"Christianity","Christianity","Musama Church International","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"247","Ghana",40677,"Male",31,"Bachelors degree",NA,"Teaching","Mom: Teacher, Dad: Navy","Denkyira",NA,NA,"Jukwa","31",NA,"Christianity","Christianity","Pentecost","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"248","Ghana",40679,"Female",29,"Bachelors degree",NA,"Teacher and Nurse","Businesswoman","Freightforwarder",NA,NA,"Cape Coast (UCC)","4",NA,"Christianity","Christianity","Spoken Word","Urban",2,"much richer","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","1"
"249","Ghana",40681,"Female",27,"No HS degree",NA,"Trader","Farmers","Fante",NA,NA,"Efutu","27",NA,"Christianity","Christianity","Assemblies of God","Rural",0,"about the same","agree",1,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"250","Ghana",40683,"Male",53,"No HS degree",NA,"Driver","Mom: Trader, Dad: Police Officer","Fante",NA,NA,"Kakumdo","17",NA,"Christianity","Christianity","Assemblies of God","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"251","Ghana",40685,"Female",27,"No HS degree",NA,"Hairdresser","Trader","Fante",NA,NA,"Cape Coast (Amissano)","5",NA,"Christianity","Christianity","Assemblies of God","Urban",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"252","Ghana",40687,"Male",31,"Some college",NA,"Teacher","Mom: Fishmonger, Dad: Driver","Fante",NA,NA,"Komenda","31",NA,"Christianity","Christianity","Valour Family Chapel","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"253","Ghana",40689,"Male",64,"Some college",NA,"Driver","Farmers","Brong Ahafo",NA,NA,"Abura (Cape Coast)","36",NA,"Christianity","Christianity","Missing Data","Rural",0,"about the same","agree",1,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"254","Ghana",40691,"Male",25,"No HS degree",NA,"Trader","Mom: Fishmonger, Dad: Fisherman","Fante",NA,NA,"Ekon (Cape Coast)","20",NA,"Christianity","Christianity","Christ Healing Power Church","Urban",2,"much richer","strongly agree",2,NA,NA,NA,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"255","Ghana",40693,"Female",44,"No HS degree",NA,"Farmer","Mom: Trader, Dad: Carpenter","Fante",NA,NA,"Akotokyir","44",NA,"Christianity","Christianity","Twelve Apostles","Urban",0,"about the same","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"256","Ghana",40695,"Male",20,"No HS degree",NA,"Student","Mom: Trader, Dad: Fisherman","Fante",NA,NA,"Amamona","7",NA,"Christianity","Christianity","Church of Pentecost","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"257","Ghana",40697,"Female",44,"No HS degree",NA,"Fishmonger","Fishmonger","Fante",NA,NA,"Moree","47",NA,"Christian","Christian","Pentecostal Church of Christ","Urban",1,"a little richer","agree",1,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"258","Ghana",40699,"Male",66,"Bachelors degree",NA,"Farmer Area Manager Ghana Telecom","Mom: Trader, Dad: Senior Executive Officer (HR)","Fante",NA,NA,"Ayifua Estate (Cape Coast)","17",NA,"Christian","Christians","Church of Pentecost","Urban",0,"about the same","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","1"
"259","Ghana",40701,"Male",83,"Other","Standard 7 Certificate (Middle Seho leaving certifi... [scan cut out])","Pensioner (Water cooks Ghana Water Superintendent)","Deceased. Mom: Kenkey Trader, Dad: Farmer","Akan (Fante)",NA,NA,"Nyamebekyere (Cape Coast)","83",NA,"Christianity","Christianity","Musama Church International","Rural",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Ghana Water Company","Doris and Esther","English","0"
"260","Ghana",40703,"Male",53,"Other graduate degree",NA,"Educationist (Teacher)","Deceased (Farmers)","Guan",NA,NA,"UCC","3",NA,"Christianity","Christianity","Pentecost (PIWC)","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Vodafone","Doris and Esther","English","1"
"261","Ghana",40705,"Male",54,"No HS degree",NA,"Driver","Farmers","Akan (Fanti)",NA,NA,"Abura","Missing Data",NA,"Christianity","Christianity","Pentecost","Rural",NA,NA,"agree",1,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Fante","1"
"262","Ghana",40707,"Male",51,NA,NA,"Bookman","Mom: Pensioner (Caterer at Central hospital), Dad: Pensioner (Printing Press University - UCC)","Missing Data",NA,NA,"Troum","5",NA,"Christianity","Christianity","Winners Church international","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Fante","1"
"263","Ghana",40709,"Female",41,"Bachelors degree",NA,"Teaching","Mom: Trader, Dad: Managing Director","Akan",NA,NA,"Pedua","21",NA,"Christianity","Christianity","Charismatic Evangelistic Ministry","Urban",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","1"
"264","Ghana",40711,"Male",40,"Other graduate degree",NA,"Teaching","Mom: Farmer, Dad: Medical Assistant","Ewe",NA,NA,"Ho","10",NA,"Christianity","Christianity","Perez International Church","Rural",-1,"a little poorer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","0"
"265","Ghana",40713,"Male",40,"Vocational school",NA,"Businessman","Mom: Teacher, Dad: Retired Constructor","Fante",NA,NA,"Pedu Village","20",NA,"Christianity","Christianity","Light House Chapel International","Urban",0,"about the same","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Fante","1"
"266","Ghana",40715,"Male",41,NA,NA,"Fabricator","Mom: Trader, Dad: Retired Policeman","Akan",NA,NA,"Pedu","Missing Data",NA,"Christianity","Christianity","ICGC","Rural",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"267","Ghana",40610,"Male",31,"Bachelors degree",NA,"Student","Dad: Dealer in Cars (Businessman)","Ashanti",NA,NA,"Accra","20",NA,"Christianity","Christianity","Presbyterian","Rural",2,"much richer","agree",1,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","0"
"268","Ghana",40605,"Female",33,"No HS degree",NA,"Trader","Farmers","Fante",NA,NA,"Kakumdo (Cape Coast)","33",NA,"Christianity","Christianity","Apostolic Ghana","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"269","Ghana",40603,"Male",25,NA,NA,"Student","Farmers","Ashanti",NA,NA,"Cape Coast / Siwdo Compound","4",NA,"Christianity","Christianity","Church of Christ","Rural",0,"about the same","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","0"
"270","Ghana",40606,"Female",45,"No HS degree",NA,"I cut fire wood to sell","Seller","Abradzi",NA,NA,"Moree","1",NA,"Nakaba","My Parents does not attend church","Nakaba","Rural",-2,"much poorer","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"271","Ghana",40616,"Female",40,"No HS degree",NA,"Trader","my mum doesn't work","Fante",NA,NA,"King Aggrey Street (Cape Coast)","25",NA,"Christianity","Christianity","Christ Apostolic","Urban",0,"about the same","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"272","Ghana",40617,"Female",23,NA,NA,"Caterer","Trader","Fante",NA,NA,"Bakano (Cape Coast)","1",NA,"Christianity","Christianity","Church of Christ","Rural",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","English","0"
"273","Ghana",40654,"Male",23,NA,NA,"Security Personnel","Mom: Trader, Dad: Farmer","Ewe",NA,NA,"Kakumdo","2",NA,"Christianity","Christianity","Christ Apostolic Church","Rural",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Ghana Water Company","Doris and Esther","Fante","1"
"274","Ghana",40660,"Male",40,"No HS degree",NA,"Wood peddler","Mom: Businesswoman, Dad: Teacher","Akan (Fanti)",NA,NA,"Ankaful Town","22",NA,"Christianity","Christianity","Methodist","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Fante","0"
"275","Ghana",40668,"Female",50,"No HS degree",NA,"Trader","Mum: Bread baker, Dad: Bread baker","Brong Ahafo",NA,NA,"Abease","14",NA,"Christianity","Christianity","Methodist Church","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"276","Ghana",40708,"Female",40,"Some college",NA,"Caterer","Mum: Caterer, Dad: Engineer","Ewe",NA,NA,"Pedu Village","10",NA,"Christianity","Christianity","Consuming Fire","Urban",2,"much richer","strongly agree",2,0,0,0,NA,NA,NA,1,"Face to face","Main insurance offices","Doris and Esther","Fante","0"
"277","Ghana",40717,"Male",28,"Vocational school",NA,"Mth. Sales Coordinator","Accountant / Trader","Fante",NA,NA,"Elmira","25",NA,"Muslim","Mom: Christian, Dad: Muslim","Muslim","Urban",1,"a little richer","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"278","Ghana",40719,"Male",49,"No HS degree",NA,"Seat liner","Mom: Fishmonger, Dad: Army officer","Fante",NA,NA,"Bakano (Cape Coast)","2",NA,"Christianity","Christianity","Redemption Baptist Church","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"279","Ghana",40721,"Female",49,"Bachelors degree",NA,"Teacher","Trader","Akuapim / Fante",NA,NA,"West End (Cape Coast)","1",NA,"Christianity","Christianity","AME Zion Church","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"280","Ghana",40723,"Female",24,"No HS degree",NA,"Hairdresser","Trader","Fante",NA,NA,"Cape Coast","5",NA,"Christianity","Christianity","Christ Apolostic Church","Urban",1,"a little richer","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"281","Ghana",40725,"Male",22,"Bachelors degree",NA,"Just completed Tertiary 1st degree","Mom: Teacher","Fante",NA,NA,"OLA (Cape Coast)","10",NA,"Christianity","Christianity","Assemblies of God","Urban",2,"much richer","strongly agree",2,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","English","1"
"282","Ghana",40727,"Female",35,"Bachelors degree",NA,"Bio-statistitian Assistant","Trader","Ewe",NA,NA,"Augustines College","4",NA,"Christianity","Christianity","EP Church Evangelical/Presbyterian Church","Urban",2,"much richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","English","0"
"283","Ghana",40729,"Female",42,"Other","Comercial school","Ministry of Agric. (Office Staff)","Diseased","Fante",NA,NA,"Bakano (Cape Coast)","12",NA,"Christianity","Christianity","Grace Evangelica/Methodist","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"284","Ghana",40731,"Male",42,"Vocational school",NA,"Driver (GHS)","Diseased","Fante",NA,NA,"Cape Coast (Ewim)","15",NA,"Christian","Christian","Methodist","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"285","Ghana",40733,"Female",80,"Bachelors degree",NA,"Retired Nursing Officer","My father was a Pastor","Ewe",NA,NA,"Pedu Estate (Cape Coast)","10",NA,"Christian","Christian","Presby","Urban",0,"about the same","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"286","Ghana",40735,"Female",20,"No HS degree",NA,"Hairdresser","Farmers","Fante",NA,NA,"Abura","4",NA,"Christian","Christian","Roman","Rural",1,"a little richer","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"287","Ghana",40780,"Female",40,"No HS degree",NA,"Trader","Mom: Civil Servant, Dad: Mechanic","Nzema",NA,NA,"Cape Coast (Abease)","40",NA,"Christian","Christian","Methodist","Urban",2,"much richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"288","Ghana",40782,"Male",70,"Other graduate degree",NA,"Chemical engineer (retired)","Mom: Trader, Dad: Sales Manager","Fante",NA,NA,"Cape Coast Pedu","24",NA,"Catholic","Mom: Catholic, Dad: Methodist","mdata","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"289","Ghana",40784,"Male",41,NA,NA,"Trader (Cement)","Farmers","Fante",NA,NA,"Cape Coast (Adisadel)","20",NA,"Christian","Christian","Catholic church","Urban",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"290","Ghana",40786,"Male",56,"No HS degree",NA,"Civil Servant (Birth and Death)","Civil Servant (Father) Trader (Mother)","Fante",NA,NA,"Cape Coast (Kawoanopado)","56",NA,"Christian","Christian","Catholic church","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"291","Ghana",40788,"Male",61,"Vocational school",NA,"Retired Civil Servant","Mom: Trader, Dad: Civil Servant","Fante",NA,NA,"Cape Coast (Bakaano)","51",NA,"Christian","Christians","Anglican church","Urban",0,"about the same","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"292","Ghana",40790,"Male",30,NA,NA,"Not working","Mom: Cooks in a college","Fante",NA,NA,"Cape Coast Aquarium","30",NA,"Christian","Christian","Jesus Christ of Latter Day Saint","Urban",-1,"a little poorer","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"293","Ghana",40792,"Female",32,"Bachelors degree",NA,"Health worker / Civil Servant","Mom: Trader, Dad: Taylor","Northerner",NA,NA,"Cape Coast","6",NA,"Muslim","Muslim","Mosque anywhere you can pray","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"294","Ghana",40794,"Female",40,"Some college",NA,"Homemaker","Mom: Trader, Dad: Carpenter","Fante",NA,NA,"Bakano (Cape Coast)","40",NA,"Christianity","Christianity","Assemblies of God","Urban",-1,"a little poorer","strongly agree",2,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"295","Ghana",40737,"Female",62,"Some college",NA,"Secretary","Diceased","Fante and Ga",NA,NA,"Commercial Streets (Cape Coast)","9",NA,"Christianity","Christianity","Methodist","Urban",1,"a little richer","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"296","Ghana",40739,"Female",36,"No HS degree",NA,"Farmer","Farmers","Akyem",NA,NA,"Abrafo","22",NA,"Jehovah Witness","Jehovah Witness","Jehovah Witness","Urban",1,"a little richer","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"297","Ghana",40741,"Female",42,"Other","Teachers Training","Teaching","Secretary","Fante",NA,NA,"Petro (Cape Coast)","8",NA,"Christianity","Christianity","Methodist","Urban",1,"a little richer","strongly agree",2,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"298","Ghana",40743,"Female",59,"No HS degree",NA,"I am looking after my in law in the house (Home maker)","Farmers (Diseased)","Agona Abodom (Agona)",NA,NA,"Abura (Cape-Tech)","43",NA,"Christianity","Christianity","Roman Catholic","Urban",0,"about the same","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"299","Ghana",40745,"Female",24,"No HS degree",NA,"Hairdresser","Trader","Fante",NA,NA,"Apewosika","10",NA,"Christianity","Christianity","Apostolic Church, Ghana","Rural",1,"a little richer","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"300","Ghana",40747,"Male",25,NA,NA,"Driver","Mom: Fishmonger, Dad: Driver","Fante",NA,NA,"Brafoyew","15",NA,"Christianity","Christianity","Roman Catholic","Urban",1,"a little richer","agree",1,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"301","Ghana",40751,"Female",58,NA,NA,"Academic staff","Doesn't work","Akan (Fanti)",NA,NA,"UCC","25",NA,"Christianity","Christianity","Methodist","Urban",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","English","0"
"302","Ghana",40753,"Male",24,"Bachelors degree",NA,"Student","Mom: Trader, Dad: Trader","Dagomba",NA,NA,"Interberton Estate","10",NA,"Islamic","Islamic","Ahlusunah","Rural",2,"much richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","English","0"
"303","Ghana",40755,"Male",20,"Bachelors degree",NA,"Student","Mom: Trader, Dad: Driver","Fante",NA,NA,"Komenda","20",NA,"Christianity","Christianity","Methodist","Urban",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"304","Ghana",40796,"Female",55,"No HS degree",NA,"Cook (Mfantsepim Sec)","Mom: Baker, Dad: Driver","Fante",NA,NA,"Cape Coast (Bakaano)","22",NA,"Christian","Christian","Assemblies of God","Urban",-1,"a little poorer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"305","Ghana",40757,"Female",38,"No HS degree",NA,"Trader","Trader","Ewe",NA,NA,"Abura","2",NA,"Christianity","Christianity","Presbyterian Church","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Market / Shops","Doris and Esther","Missing Data","0"
"306","Ghana",40759,"Female",37,"No HS degree",NA,"Business (Fruits seller)","Mom: Fruit seller, Dad: Carpentry","Akan",NA,NA,"Kotokuraba","2",NA,"Christianity","Christianity","Calvary Methodist","Urban",2,"much richer","strongly agree",2,0,0,0,NA,NA,NA,2,"Face to face","Market / Shops","Doris and Esther","Missing Data","0"
"307","Ghana",40798,"Male",48,NA,NA,"Businessman","Mom: Secretary, Dad: mdata","Fante",NA,NA,"Green Hill (Cape Coast)","5 months",NA,"Christianity","Christianity","Word Miracle Church","Rural",1,"a little richer","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","1"
"308","Ghana",40761,"Female",20,"Bachelors degree",NA,"Student","Mom: Teacher, Dad: Driver","Akan",NA,NA,"OLA","20",NA,"Christianity","Christianity","Baptist Church","Urban",2,"much richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Municipal Assembly office","Doris and Esther","English","0"
"309","Ghana",40763,"Female",50,"Vocational school",NA,"Civil Servant","Mom: Trader, Dad: Goldsmith","Akan",NA,NA,"Birika","3",NA,"Christianity","Christianity","Roman Catholic","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Municipal Assembly office","Doris and Esther","English","0"
"310","Ghana",40765,"Female",42,NA,NA,"Rural Bank (Mobile banker)","Mom: Trader, Dad: Doctor","Fante",NA,NA,"Acquarium (Cape Coast)","42",NA,"Christianity","Christianity","Anglican Church","Urban",1,"a little richer","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"311","Ghana",40767,"Female",26,"Bachelors degree",NA,"Student","Traders","Wala",NA,NA,"Sewin (Cape Coast)","26",NA,"Islamic","Islamic","Suna","Urban",0,"about the same","strongly agree",2,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","Missing Data","0"
"312","Ghana",40769,"Male",25,"Vocational school",NA,"Student","Missing Data","Christianity",NA,NA,"Cape Coast","25",NA,"Christianity","Christianity","Apostolic Faith Church","Urban",1,"a little richer","neither agree nor disagree",0,0,0,0,NA,NA,NA,2,"Face to face","Main insurance offices","Doris and Esther","English","1"
